id,title,statement,lifecycle_status,disposition,disposition_reason_ref,source_kind,source_span,custom_attributes,last_referenced
CON-001,**Self-contained**: no org Hangfire / ELK / Seq / notification platform. ACMP bundles its own — all runtime dependencies bundled (incl. self-hosted Keycloak + SQL Server) per ADR-0015; the only extern,"**Self-contained**: no org Hangfire / ELK / Seq / notification platform. ACMP bundles its own — all runtime dependencies bundled (incl. self-hosted Keycloak + SQL Server) per ADR-0015; the only external dependency is Webex (Phase 2, via pluggable adapter).",Approved,,,,,"{""v1"": {""ID"": ""CON-001"", ""Constraint"": ""**Self-contained**: no org Hangfire / ELK / Seq / notification platform. ACMP bundles its own — all runtime dependencies bundled (incl. self-hosted Keycloak + SQL Server) per ADR-0015; the only external dependency is Webex (Phase 2, via pluggable adapter)."", ""Source"": ""README CON-001""}}",
CON-002,**Mandated technology stack**: Backend must be .NET 8 (LTS) / ASP.NET Core. Frontend must be React 18 + TypeScript + Vite. Database must be Microsoft SQL Server. No deviations without an explicit ADR.,"**Mandated technology stack**: Backend must be .NET 8 (LTS) / ASP.NET Core. Frontend must be React 18 + TypeScript + Vite. Database must be Microsoft SQL Server. No deviations without an explicit ADR. (Implication: No Go, Python (except Tarseem sidecar), Java, Postgres, MongoDB, or other stacks for the ACMP application itself.)",Approved,,,,,"{""v1"": {""ID"": ""CON-002"", ""Constraint"": ""**Mandated technology stack**: Backend must be .NET 8 (LTS) / ASP.NET Core. Frontend must be React 18 + TypeScript + Vite. Database must be Microsoft SQL Server. No deviations without an explicit ADR. (Implication: No Go, Python (except Tarseem sidecar), Java, Postgres, MongoDB, or other stacks for the ACMP application itself.)"", ""Source"": ""README §A; ADR-0001–ADR-0003, ADR-0012"", ""Type"": ""Technical"", ""Status"": ""Approved""}}",
CON-003,"**On-prem VM + Docker Compose; no Kubernetes**: Deployment is Docker Compose on one or two VMs. No Kubernetes, Helm, service mesh, or container orchestration platform. (Implication: Resource limits, s","**On-prem VM + Docker Compose; no Kubernetes**: Deployment is Docker Compose on one or two VMs. No Kubernetes, Helm, service mesh, or container orchestration platform. (Implication: Resource limits, secret management, and scaling are all VM/Compose-level concerns. No K8s features (ConfigMaps, Secrets, Ingress controllers) may be assumed.)",Approved,,,,,"{""v1"": {""ID"": ""CON-003"", ""Constraint"": ""**On-prem VM + Docker Compose; no Kubernetes**: Deployment is Docker Compose on one or two VMs. No Kubernetes, Helm, service mesh, or container orchestration platform. (Implication: Resource limits, secret management, and scaling are all VM/Compose-level concerns. No K8s features (ConfigMaps, Secrets, Ingress controllers) may be assumed.)"", ""Source"": ""README §A; ADR-0001"", ""Type"": ""Deployment"", ""Status"": ""Approved""}}",
CON-004,"**Scale ceiling ≤20 total users; right-size everything**: No HA cluster, no horizontal scaling, no heavy performance engineering. 99.9% availability via simple standby VM + nightly backups. (Implicati","**Scale ceiling ≤20 total users; right-size everything**: No HA cluster, no horizontal scaling, no heavy performance engineering. 99.9% availability via simple standby VM + nightly backups. (Implication: Do not engineer for 1,000 concurrent users. Reject any architectural addition (Redis, message broker, CDN) whose sole justification is scalability beyond 20 users.)",Approved,,,,,"{""v1"": {""ID"": ""CON-004"", ""Constraint"": ""**Scale ceiling ≤20 total users; right-size everything**: No HA cluster, no horizontal scaling, no heavy performance engineering. 99.9% availability via simple standby VM + nightly backups. (Implication: Do not engineer for 1,000 concurrent users. Reject any architectural addition (Redis, message broker, CDN) whose sole justification is scalability beyond 20 users.)"", ""Source"": ""README §A (settled decision 2026-06-24)"", ""Type"": ""Technical"", ""Status"": ""Approved""}}",
CON-005,"**No message brokers in ACMP's own infrastructure**: No RabbitMQ, Kafka, or similar broker as part of ACMP's own runtime. Background work is handled by app-owned Hangfire on SQL. (Implication: Hangfir","**No message brokers in ACMP's own infrastructure**: No RabbitMQ, Kafka, or similar broker as part of ACMP's own runtime. Background work is handled by app-owned Hangfire on SQL. (Implication: Hangfire + SQL outbox is the messaging layer. Async patterns are task-queue only, not event streaming.)",Approved,,,,,"{""v1"": {""ID"": ""CON-005"", ""Constraint"": ""**No message brokers in ACMP's own infrastructure**: No RabbitMQ, Kafka, or similar broker as part of ACMP's own runtime. Background work is handled by app-owned Hangfire on SQL. (Implication: Hangfire + SQL outbox is the messaging layer. Async patterns are task-queue only, not event streaming.)"", ""Source"": ""README §A; ADR-0001"", ""Type"": ""Technical"", ""Status"": ""Approved""}}",
CON-006,**No email in v1**: Email notifications are deferred until an SMTP relay is available. In-app notification center is the sole channel in PH-1. (Implication: `INotificationChannel` abstraction must be ,**No email in v1**: Email notifications are deferred until an SMTP relay is available. In-app notification center is the sole channel in PH-1. (Implication: `INotificationChannel` abstraction must be in place so email adapter can be added without modifying dispatch code. Alert users only via in-app center and (PH-2) Webex.),Approved,,,,,"{""v1"": {""ID"": ""CON-006"", ""Constraint"": ""**No email in v1**: Email notifications are deferred until an SMTP relay is available. In-app notification center is the sole channel in PH-1. (Implication: `INotificationChannel` abstraction must be in place so email adapter can be added without modifying dispatch code. Alert users only via in-app center and (PH-2) Webex.)"", ""Source"": ""README §A (settled 2026-06-24); ADR-0005"", ""Type"": ""Product"", ""Status"": ""Approved""}}",
CON-007,**No public self-registration or anonymous access**: All access is provisioned by Administrator/Secretary via Keycloak. No public-facing registration endpoint. (Implication: `POST /api/register` does ,**No public self-registration or anonymous access**: All access is provisioned by Administrator/Secretary via Keycloak. No public-facing registration endpoint. (Implication: `POST /api/register` does not exist. OIDC callback is the only entry point.),Approved,,,,,"{""v1"": {""ID"": ""CON-007"", ""Constraint"": ""**No public self-registration or anonymous access**: All access is provisioned by Administrator/Secretary via Keycloak. No public-facing registration endpoint. (Implication: `POST /api/register` does not exist. OIDC callback is the only entry point.)"", ""Source"": ""README §A; ADR-0004; CON-003"", ""Type"": ""Security"", ""Status"": ""Approved""}}",
CON-008,"**EN and AR are both first-class, not additive**: Full bilingual support and RTL layout from the first PH-1 release. Not a v2 retrofit. (Implication: Every UI component must be built with logical CSS ","**EN and AR are both first-class, not additive**: Full bilingual support and RTL layout from the first PH-1 release. Not a v2 retrofit. (Implication: Every UI component must be built with logical CSS from day 1. Every user-visible string must exist in both locale files before the feature ships. RTL regression must pass in CI.)",Approved,,,,,"{""v1"": {""ID"": ""CON-008"", ""Constraint"": ""**EN and AR are both first-class, not additive**: Full bilingual support and RTL layout from the first PH-1 release. Not a v2 retrofit. (Implication: Every UI component must be built with logical CSS from day 1. Every user-visible string must exist in both locale files before the feature ships. RTL regression must pass in CI.)"", ""Source"": ""README §A; ADR-0012; P-07"", ""Type"": ""Product"", ""Status"": ""Approved""}}",
CON-009,**Keycloak is the sole IdP; roles sourced from Keycloak claims**: ACMP does not store or assign global roles. It reads claims on token validation and maps to canonical roles. (Implication: ACMP cannot,"**Keycloak is the sole IdP; roles sourced from Keycloak claims**: ACMP does not store or assign global roles. It reads claims on token validation and maps to canonical roles. (Implication: ACMP cannot have a ""role management"" screen that changes Keycloak data. Role assignment is done in Keycloak; ACMP reads the result.)",Approved,,,,,"{""v1"": {""ID"": ""CON-009"", ""Constraint"": ""**Keycloak is the sole IdP; roles sourced from Keycloak claims**: ACMP does not store or assign global roles. It reads claims on token validation and maps to canonical roles. (Implication: ACMP cannot have a \""role management\"" screen that changes Keycloak data. Role assignment is done in Keycloak; ACMP reads the result.)"", ""Source"": ""README §A; ADR-0004"", ""Type"": ""Security"", ""Status"": ""Approved""}}",
CON-010,"**Single committee; no multi-committee generalization**: v1 is built for exactly one committee. No tenant IDs, no committee selection, no committee-scoped routing. (Implication: Reject any data-model ","**Single committee; no multi-committee generalization**: v1 is built for exactly one committee. No tenant IDs, no committee selection, no committee-scoped routing. (Implication: Reject any data-model change that adds a committee entity as a root tenant discriminator unless a new explicit decision reverses this.)",Approved,,,,,"{""v1"": {""ID"": ""CON-010"", ""Constraint"": ""**Single committee; no multi-committee generalization**: v1 is built for exactly one committee. No tenant IDs, no committee selection, no committee-scoped routing. (Implication: Reject any data-model change that adds a committee entity as a root tenant discriminator unless a new explicit decision reverses this.)"", ""Source"": ""README §A (settled 2026-06-24)"", ""Type"": ""Product"", ""Status"": ""Approved""}}",
CON-011,**Voting always attributed in v1; no anonymous voting**: Every voter's choice is recorded and visible to Auditor and Chairman. Anonymous voting mode is out of scope for v1. (Implication: The `anonymit,**Voting always attributed in v1; no anonymous voting**: Every voter's choice is recorded and visible to Auditor and Chairman. Anonymous voting mode is out of scope for v1. (Implication: The `anonymity` flag on the vote configuration (FR-070 references it) is an informational field only in v1; the system always records individual votes. Full anonymity support is a future decision.),Approved,,,,,"{""v1"": {""ID"": ""CON-011"", ""Constraint"": ""**Voting always attributed in v1; no anonymous voting**: Every voter's choice is recorded and visible to Auditor and Chairman. Anonymous voting mode is out of scope for v1. (Implication: The `anonymity` flag on the vote configuration (FR-070 references it) is an informational field only in v1; the system always records individual votes. Full anonymity support is a future decision.)"", ""Source"": ""README §A (ADR-0010; settled 2026-06-24)"", ""Type"": ""Security"", ""Status"": ""Approved""}}",
CON-012,"**Gregorian dates only; no Hijri in v1**: All date storage, display, and SLA calculations use Gregorian calendar. (Implication: No Hijri calendar library, no dual-calendar display, no Hijri date input","**Gregorian dates only; no Hijri in v1**: All date storage, display, and SLA calculations use Gregorian calendar. (Implication: No Hijri calendar library, no dual-calendar display, no Hijri date input. Localized Gregorian formatting (right-to-left digit order in AR) is acceptable.)",Approved,,,,,"{""v1"": {""ID"": ""CON-012"", ""Constraint"": ""**Gregorian dates only; no Hijri in v1**: All date storage, display, and SLA calculations use Gregorian calendar. (Implication: No Hijri calendar library, no dual-calendar display, no Hijri date input. Localized Gregorian formatting (right-to-left digit order in AR) is acceptable.)"", ""Source"": ""README §A (settled 2026-06-24)"", ""Type"": ""Product"", ""Status"": ""Approved""}}",
CON-013,**Keystone is optional**: The Research module must work fully standalone (manual entry). Keystone import is an enhancement. No hard dependency on Keystone availability. (Implication: Research Mission ,"**Keystone is optional**: The Research module must work fully standalone (manual entry). Keystone import is an enhancement. No hard dependency on Keystone availability. (Implication: Research Mission record can be created without a Keystone package reference. The Keystone import tool is a PH-2 feature, not a gate for the Research module — build since deferred out of P15 → future per D-05, 2026-07-12; optionality unchanged.)",Approved,,,,,"{""v1"": {""ID"": ""CON-013"", ""Constraint"": ""**Keystone is optional**: The Research module must work fully standalone (manual entry). Keystone import is an enhancement. No hard dependency on Keystone availability. (Implication: Research Mission record can be created without a Keystone package reference. The Keystone import tool is a PH-2 feature, not a gate for the Research module — build since deferred out of P15 → future per D-05, 2026-07-12; optionality unchanged.)"", ""Source"": ""README §A; ADR-0007"", ""Type"": ""Product"", ""Status"": ""Approved""}}",
CON-014,"**Webex is Phase 2, adapter-only**: No Webex calls in PH-1 code. All Webex integration is behind the `INotificationChannel` and `IWebexRecordingAdapter` abstractions. (Implication: PH-1 code must comp","**Webex is Phase 2, adapter-only**: No Webex calls in PH-1 code. All Webex integration is behind the `INotificationChannel` and `IWebexRecordingAdapter` abstractions. (Implication: PH-1 code must compile and run without Webex credentials configured. The adapter registers as no-op when Webex config is absent.)",Approved,,,,,"{""v1"": {""ID"": ""CON-014"", ""Constraint"": ""**Webex is Phase 2, adapter-only**: No Webex calls in PH-1 code. All Webex integration is behind the `INotificationChannel` and `IWebexRecordingAdapter` abstractions. (Implication: PH-1 code must compile and run without Webex credentials configured. The adapter registers as no-op when Webex config is absent.)"", ""Source"": ""README §A (settled 2026-06-24); ADR-0005"", ""Type"": ""Product"", ""Status"": ""Approved""}}",
CON-015,"**AI extraction is Phase 3; manual always available**: No AI features in PH-1 or PH-2. When delivered in PH-3, AI extraction is off by default and requires Admin activation with data-residency confirm","**AI extraction is Phase 3; manual always available**: No AI features in PH-1 or PH-2. When delivered in PH-3, AI extraction is off by default and requires Admin activation with data-residency confirmation. (Implication: No LLM client code in PH-1 or PH-2 production code. Phase 3 LLM integration is behind a feature flag.)",Approved,,,,,"{""v1"": {""ID"": ""CON-015"", ""Constraint"": ""**AI extraction is Phase 3; manual always available**: No AI features in PH-1 or PH-2. When delivered in PH-3, AI extraction is off by default and requires Admin activation with data-residency confirmation. (Implication: No LLM client code in PH-1 or PH-2 production code. Phase 3 LLM integration is behind a feature flag.)"", ""Source"": ""README §A (settled 2026-06-24)"", ""Type"": ""Product"", ""Status"": ""Approved""}}",
