id,title,statement,owner,lifecycle_status,disposition,disposition_reason_ref,source_kind,source_span,custom_attributes,last_referenced
DEP-001,**Keycloak instance**: OIDC-compliant; ACMP registered as a client; group/realm-role claims carrying ACMP role names; test credentials for claim-mapping spike.,**Keycloak instance**: OIDC-compliant; ACMP registered as a client; group/realm-role claims carrying ACMP role names; test credentials for claim-mapping spike.,,Approved,,,,,"{""v1"": {""ID"": ""DEP-001"", ""Dependency"": ""**Keycloak instance**: OIDC-compliant; ACMP registered as a client; group/realm-role claims carrying ACMP role names; test credentials for claim-mapping spike."", ""Type"": ""External / Identity"", ""Criticality"": ""Blocking"", ""Notes"": ""Provider: Org IT / Identity team. Required by: PH-0 spike; PH-1 build start. Risk if unavailable: Identity integration blocked; ACMP cannot authenticate users. Mitigation: PH-0 spike; static role config fallback for dev; escalate as blocking if not resolved before PH-1 code start.""}}",
DEP-002,**SQL Server instance**: Dedicated instance (or named database on a shared instance with exclusive schema) allocated to ACMP; connection string accessible from Docker Compose.,**SQL Server instance**: Dedicated instance (or named database on a shared instance with exclusive schema) allocated to ACMP; connection string accessible from Docker Compose.,,Approved,,,,,"{""v1"": {""ID"": ""DEP-002"", ""Dependency"": ""**SQL Server instance**: Dedicated instance (or named database on a shared instance with exclusive schema) allocated to ACMP; connection string accessible from Docker Compose."", ""Type"": ""External / Infrastructure"", ""Criticality"": ""Blocking"", ""Notes"": ""Provider: Org DBA / IT. Required by: PH-0. Risk if unavailable: Database layer cannot be built or tested. Mitigation: Docker Compose includes a SQL Server container for dev; prod instance is an org allocation. Dev is never blocked.""}}",
DEP-003,**MinIO provisioning**: S3-compatible endpoint (self-hosted MinIO container in Compose stack); storage volume mounted from host with adequate capacity.,**MinIO provisioning**: S3-compatible endpoint (self-hosted MinIO container in Compose stack); storage volume mounted from host with adequate capacity.,,Approved,,,,,"{""v1"": {""ID"": ""DEP-003"", ""Dependency"": ""**MinIO provisioning**: S3-compatible endpoint (self-hosted MinIO container in Compose stack); storage volume mounted from host with adequate capacity."", ""Type"": ""Internal / Infrastructure"", ""Criticality"": ""Important"", ""Notes"": ""Provider: Team (Docker Compose). Required by: PH-1 (file attachments). Risk if unavailable: File attachments, diagram artifacts, and recording uploads cannot be stored. Mitigation: MinIO is included in the Compose stack as an ACMP-owned container; no external provisioning needed unless prod volume is constrained.""}}",
DEP-004,**Development VM and Docker Compose environment**: A VM accessible to the team with Docker Engine installed; able to pull or cache required base images.,**Development VM and Docker Compose environment**: A VM accessible to the team with Docker Engine installed; able to pull or cache required base images.,,Approved,,,,,"{""v1"": {""ID"": ""DEP-004"", ""Dependency"": ""**Development VM and Docker Compose environment**: A VM accessible to the team with Docker Engine installed; able to pull or cache required base images."", ""Type"": ""Internal / Infrastructure"", ""Criticality"": ""Blocking"", ""Notes"": ""Provider: Org IT. Required by: PH-0. Risk if unavailable: No development or CI environment. Mitigation: Coordinate VM provisioning in PH-0; document image registry requirements for air-gapped setup (RISK-009).""}}",
DEP-005,**Self-hosted Seq container**: Seq is included in the ACMP Docker Compose stack; no external Seq license required for development (Seq has a free single-user license; production may require commercial,**Self-hosted Seq container**: Seq is included in the ACMP Docker Compose stack; no external Seq license required for development (Seq has a free single-user license; production may require commercial license for team logging).,,Approved,,,,,"{""v1"": {""ID"": ""DEP-005"", ""Dependency"": ""**Self-hosted Seq container**: Seq is included in the ACMP Docker Compose stack; no external Seq license required for development (Seq has a free single-user license; production may require commercial license for team logging)."", ""Type"": ""Internal (Compose stack)"", ""Criticality"": ""Optional"", ""Notes"": ""Provider: Team. Required by: PH-1. Risk if unavailable: Observability (log search) unavailable; structured logs go to stdout only. Mitigation: Seq is bundled in Compose; stdout fallback always available. Verify licensing at scale.""}}",
DEP-006,**Tarseem v1.0 render sidecar**: Python ≥3.10 + pip + Chromium + Node/elkjs inside a container; `tarseem doctor` passes; internal HTTP endpoint (FastAPI wrapper) callable from Hangfire job.,**Tarseem v1.0 render sidecar**: Python ≥3.10 + pip + Chromium + Node/elkjs inside a container; `tarseem doctor` passes; internal HTTP endpoint (FastAPI wrapper) callable from Hangfire job.,,Approved,,,,,"{""v1"": {""ID"": ""DEP-006"", ""Dependency"": ""**Tarseem v1.0 render sidecar**: Python ≥3.10 + pip + Chromium + Node/elkjs inside a container; `tarseem doctor` passes; internal HTTP endpoint (FastAPI wrapper) callable from Hangfire job."", ""Type"": ""External / Integration (Tarseem repo)"", ""Criticality"": ""Important"", ""Notes"": ""Provider: Team (containerize from `github.com/A-H-911/tarseem`). Required by: PH-2. Risk if unavailable: Diagram rendering unavailable; dependency graph visualization unavailable. ADRs and topics can still reference JSON specs, but render artifacts are not generated. Mitigation: JSON spec stored as source of truth (ADR-0006); rendering is asynchronous; missing render is non-blocking. PH-0 spike validates container build.""}}",
DEP-007,**Webex bot/integration account + Webex licensing**: OAuth2 integration account registered; scopes for meetings/recordings/transcripts/messaging granted; Webex Adaptive Cards enabled on the org's Webe,**Webex bot/integration account + Webex licensing**: OAuth2 integration account registered; scopes for meetings/recordings/transcripts/messaging granted; Webex Adaptive Cards enabled on the org's Webex deployment; Webex Assistant enabled for transcripts (Control Hub admin decision).,,Approved,,,,,"{""v1"": {""ID"": ""DEP-007"", ""Dependency"": ""**Webex bot/integration account + Webex licensing**: OAuth2 integration account registered; scopes for meetings/recordings/transcripts/messaging granted; Webex Adaptive Cards enabled on the org's Webex deployment; Webex Assistant enabled for transcripts (Control Hub admin decision)."", ""Type"": ""External / Integration (Webex SaaS)"", ""Criticality"": ""Important"", ""Notes"": ""Provider: Org IT / Webex admin. Required by: PH-2. Risk if unavailable: Webex Adaptive Card notifications unavailable; recording/transcript retrieval unavailable. In-app notifications continue to work. Mitigation: Webex is Phase 2; initiate procurement/admin conversation in PH-1. Adapter abstraction means in-app notifications are never blocked by Webex availability.""}}",
DEP-008,**Keystone package schema stability**: Keystone v1.0 manifest schema and artifact types must be stable for the import tool (BL-116) to parse reliably.,**Keystone package schema stability**: Keystone v1.0 manifest schema and artifact types must be stable for the import tool (BL-116) to parse reliably.,,Approved,,,,,"{""v1"": {""ID"": ""DEP-008"", ""Dependency"": ""**Keystone package schema stability**: Keystone v1.0 manifest schema and artifact types must be stable for the import tool (BL-116) to parse reliably."", ""Type"": ""External / Optional (Keystone repo `github.com/A-H-911/keystone`)"", ""Criticality"": ""Optional"", ""Notes"": ""Provider: Keystone project. Required by: future (Keystone import — deferred out of P15, D-05, 2026-07-12). Risk if unavailable: Keystone import tool cannot be built without a stable schema. Research Missions still work standalone. Mitigation: Keystone is optional (CON-013, ADR-0007). Import tool pins to a specific Keystone release. Research module is never blocked.""}}",
DEP-009,**SMTP relay**: An org SMTP relay or approved cloud mail service (with data-processing agreement if cloud) available to the ACMP container network.,**SMTP relay**: An org SMTP relay or approved cloud mail service (with data-processing agreement if cloud) available to the ACMP container network.,,Approved,,,,,"{""v1"": {""ID"": ""DEP-009"", ""Dependency"": ""**SMTP relay**: An org SMTP relay or approved cloud mail service (with data-processing agreement if cloud) available to the ACMP container network."", ""Type"": ""External / Infrastructure"", ""Criticality"": ""Optional"", ""Notes"": ""Provider: Org IT. Required by: PH-3 (email adapter). Risk if unavailable: Email notifications unavailable. In-app and Webex notifications continue. Mitigation: Email is Phase 3; INotificationChannel abstraction means email is purely additive. SMTP relay availability does not block any earlier phase.""}}",
DEP-010,**LLM endpoint for AI extraction (Phase 3)**: An on-prem or org-approved cloud LLM endpoint reachable from ACMP container; data-residency review completed; endpoint supports transcript chunk inputs.,**LLM endpoint for AI extraction (Phase 3)**: An on-prem or org-approved cloud LLM endpoint reachable from ACMP container; data-residency review completed; endpoint supports transcript chunk inputs.,,Approved,,,,,"{""v1"": {""ID"": ""DEP-010"", ""Dependency"": ""**LLM endpoint for AI extraction (Phase 3)**: An on-prem or org-approved cloud LLM endpoint reachable from ACMP container; data-residency review completed; endpoint supports transcript chunk inputs."", ""Type"": ""External / AI"", ""Criticality"": ""Optional"", ""Notes"": ""Provider: Org IT / AI team. Required by: PH-3 (AI extraction). Risk if unavailable: AI candidate extraction unavailable. Manual transcript review always available as fallback. Mitigation: AI extraction is Phase 3, off by default, and gated by Admin activation + privacy confirmation (RISK-012, CON-015).""}}",
DEP-011,"**CI/CD system** (GH Actions self-hosted runner / GitLab CI / Azure DevOps — OQ-CI): A CI pipeline that can build Docker images, run tests, and optionally push to a private registry from the developme","**CI/CD system** (GH Actions self-hosted runner / GitLab CI / Azure DevOps — OQ-CI): A CI pipeline that can build Docker images, run tests, and optionally push to a private registry from the development VM.",,Approved,,,,,"{""v1"": {""ID"": ""DEP-011"", ""Dependency"": ""**CI/CD system** (GH Actions self-hosted runner / GitLab CI / Azure DevOps — OQ-CI): A CI pipeline that can build Docker images, run tests, and optionally push to a private registry from the development VM."", ""Type"": ""Internal / Infrastructure"", ""Criticality"": ""Important"", ""Notes"": ""Provider: Org DevSecOps / Team. Required by: PH-0 (skeleton); PH-1 (full). Risk if unavailable: No automated test gate; manual deployment only. Mitigation: OQ-CI resolution required in PH-0. Default recommendation: GitHub Actions self-hosted runner on the dev VM if network allows; otherwise GitLab CI runner.""}}",
